id,name,rgb,is_trans
-1,Unknown,0033B2,No
0,Black,05131D,No
1,Blue,0055BF,No
2,Green,237841,No
3,Dark Turquoise,008F9B,No
4,Red,C91A09,No
5,Dark Pink,C870A0,No
6,Brown,583927,No
7,Light Gray,9BA19D,No
8,Dark Gray,6D6E5C,No
9,Light Blue,B4D2E3,No
10,Bright Green,4B9F4A,No
11,Light Turquoise,55A5AF,No
12,Salmon,F2705E,No
13,Pink,FC97AC,No
14,Yellow,F2CD37,No
15,White,FFFFFF,No
17,Light Green,C2DAB8,No
18,Light Yellow,FBE696,No
19,Tan,E4CD9E,No
20,Light Violet,C9CAE2,No
21,Glow In Dark Opaque,D4D5C9,No
22,Purple,81007B,No
23,Dark Blue-Violet,2032B0,No
25,Orange,FE8A18,No
26,Magenta,923978,No
27,Lime,BBE90B,No
28,Dark Tan,958A73,No
29,Bright Pink,E4ADC8,No
30,Medium Lavender,AC78BA,No
31,Lavender,E1D5ED,No
32,Trans-Black IR Lens,635F52,Sí
33,Trans-Dark Blue,0020A0,Sí
34,Trans-Green,84B68D,Sí
35,Trans-Bright Green,D9E4A7,Sí
36,Trans-Red,C91A09,Sí
40,Trans-Black,635F52,Sí
41,Trans-Light Blue,AEEFEC,Sí
42,Trans-Neon Green,F8F184,Sí
43,Trans-Very Lt Blue,C1DFF0,Sí
45,Trans-Dark Pink,DF6695,Sí
46,Trans-Yellow,F5CD2F,Sí
47,Trans-Clear,FCFCFC,Sí
52,Trans-Purple,A5A5CB,Sí
54,Trans-Neon Yellow,DAB000,Sí
57,Trans-Neon Orange,FF800D,Sí
60,Chrome Antique Brass,645A4C,No
61,Chrome Blue,6C96BF,No
62,Chrome Green,3CB371,No
63,Chrome Pink,AA4D8E,No
64,Chrome Black,1B2A34,No
68,Very Light Orange,F3CF9B,No
69,Light Purple,CD6298,No
70,Reddish Brown,582A12,No
71,Light Bluish Gray,A0A5A9,No
72,Dark Bluish Gray,6C6E68,No
73,Medium Blue,5A93DB,No
74,Medium Green,73DCA1,No
75,Speckle Black-Copper,000000,No
76,Speckle DBGray-Silver,635F61,No
77,Light Pink,FECCCF,No
78,Light Flesh,F6D7B3,No
79,Milky White,FFFFFF,No
80,Metallic Silver,A5A9B4,No
81,Metallic Green,899B5F,No
82,Metallic Gold,DBAC34,No
84,Medium Dark Flesh,CC702A,No
85,Dark Purple,3F3691,No
86,Dark Flesh,7C503A,No
89,Royal Blue,4C61DB,No
92,Flesh,D09168,No
100,Light Salmon,FEBABD,No
110,Violet,4354A3,No
112,Blue-Violet,6874CA,No
114,Glitter Trans-Dark Pink,DF6695,Sí
115,Medium Lime,C7D23C,No
117,Glitter Trans-Clear,FFFFFF,Sí
118,Aqua,B3D7D1,No
120,Light Lime,D9E4A7,No
125,Light Orange,F9BA61,No
129,Glitter Trans-Purple,A5A5CB,Sí
132,Speckle Black-Silver,000000,No
133,Speckle Black-Gold,000000,No
134,Copper,AE7A59,No
135,Pearl Light Gray,9CA3A8,No
137,Metal Blue,7988A1,No
142,Pearl Light Gold,DCBC81,No
143,Trans-Medium Blue,CFE2F7,Sí
148,Pearl Dark Gray,575857,No
150,Pearl Very Light Gray,ABADAC,No
151,Very Light Bluish Gray,E6E3E0,No
158,Yellowish Green,DFEEA5,No
178,Flat Dark Gold,B48455,No
179,Flat Silver,898788,No
182,Trans-Orange,F08F1C,Sí
183,Pearl White,F2F3F2,No
191,Bright Light Orange,F8BB3D,No
212,Bright Light Blue,9FC3E9,No
216,Rust,B31004,No
226,Bright Light Yellow,FFF03A,No
230,Trans-Pink,E4ADC8,Sí
232,Sky Blue,7DBFDD,No
236,Trans-Light Purple,96709F,Sí
272,Dark Blue,0A3463,No
288,Dark Green,184632,No
294,Glow In Dark Trans,BDC6AD,Sí
297,Pearl Gold,AA7F2E,No
308,Dark Brown,352100,No
313,Maersk Blue,3592C3,No
320,Dark Red,720E0F,No
321,Dark Azure,078BC9,No
322,Medium Azure,36AEBF,No
323,Light Aqua,ADC3C0,No
326,Olive Green,9B9A5A,No
334,Chrome Gold,BBA53D,No
335,Sand Red,D67572,No
351,Medium Dark Pink,F785B1,No
366,Earth Orange,FA9C1C,No
373,Sand Purple,845E84,No
378,Sand Green,A0BCAC,No
379,Sand Blue,6074A1,No
383,Chrome Silver,E0E0E0,No
450,Fabuland Brown,B67B50,No
462,Medium Orange,FFA70B,No
484,Dark Orange,A95500,No
503,Very Light Gray,E6E3DA,No
1000,Glow in Dark White,D9D9D9,No
1001,Medium Violet,9391E4,No
1002,Glitter Trans-Neon Green,C0F500,Sí
1003,Glitter Trans-Light Blue,68BCC5,Sí
1004,Trans Flame Yellowish Orange,FCB76D,Sí
1005,Trans Fire Yellow,FBE890,Sí
1006,Trans Light Royal Blue,B4D4F7,Sí
1007,Reddish Lilac,8E5597,No
9999,[No Color],05131D,No
